id,date,subject,class_type,distance_miles,avg_hr,max_hr,splat_points,calories,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,source
47ec96b3ebb8,2026-03-02T15:02:49+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.19,134,168,14,592,4,12,16,14,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q5AAAA
89c9bf07959b,2026-02-27T14:57:49+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.54,137,163,15,638,2,7,24,15,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q6AAAAAA==
557851675149,2026-02-25T14:58:25+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.9,141,162,16,614,1,5,22,16,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q7AAAA
a049eed17886,2026-02-23T14:57:59+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,1.81,134,169,10,578,2,12,21,9,1,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q8AAAA
e7abba0e84f9,2026-02-20T14:57:47+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.16,145,167,21,654,1,5,19,19,2,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q9AAAA
7ead007952c4,2026-02-18T14:57:52+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.04,140,163,16,582,1,8,18,16,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q_AAAA
d6a19a95b66d,2026-02-16T15:02:48+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,2.96,128,158,8,689,8,19,23,9,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q-AAAA
d5949b9f1939,2026-02-13T15:02:50+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.15,139,165,18,786,3,5,31,18,1,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rAAAAA
701ec7945172,2026-02-11T14:57:50+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.1,142,164,17,611,1,5,20,17,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rBAAAA
44d021956083,2026-02-09T15:02:49+00:00,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,3.15,140,165,18,635,2,8,19,18,0,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rCAAAA
